ResourceName,StandardName,DisplayName,Definition,Groups,SimpleDataType,SourceResource,SugMaxLength,SugMaxPrecision,Synonyms,FrenchCanadianDisplayName,SpanishDisplayName,ElementStatus,RecordId,LegacyRecordId,LookupStatus,LookupName,RepeatingElement,PropertyTypes,Payloads,StatusChangeDate,RevisedDate,AddedInVersion,WikiPageTitle,WikiPageUrl,WikiPageId,TargetResourceKey,SourceResourceKey,BEDES
Property,AboveGradeFinishedArea,Above Grade Finished Area,Finished area within the structure that is at or above the surface of the ground.,Structure,Number,,14,2,,,Área Completada por Encima del Piso,Active,e63a874,100311,,,No,"RESI,RLSE,RINC,MOBI,FARM",,2011-11-09,2012-04-20,,AboveGradeFinishedArea Field,https://ddwiki.reso.org/display/DDW17/AboveGradeFinishedArea+Field,1129833,,,"Location = ""Above grade"" Finished Status = ""Finished"" Area = [value]"
Property,AboveGradeFinishedAreaSource,Above Grade Finished Area Source,"The source of the measurements. This is a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.",Structure,"String List, Single",,50,,,,Fuente del Área Completada por Encima del Piso,Active,786c4f5,100820,Open with Enumerations,AreaSource,No,"RESI,RLSE,RINC,MOBI,FARM",,2016-06-21,2016-01-11,,AboveGradeFinishedAreaSource Field,https://ddwiki.reso.org/display/DDW17/AboveGradeFinishedAreaSource+Field,1129839,,,Origin = [value]
Property,AboveGradeFinishedAreaUnits,Above Grade Finished Area Units,"A pick list of the unit of measurement for the area. i.e. Square Feet, Square Meters, Acres, etc.",Structure,"String List, Single",,25,,,,Unidades de Área Completada por Encima del Piso,Active,a728991,100821,Open with Enumerations,AreaUnits,No,"RESI,RLSE,RINC,MOBI,FARM",,2016-06-21,2016-01-11,,AboveGradeFinishedAreaUnits Field,https://ddwiki.reso.org/display/DDW17/AboveGradeFinishedAreaUnits+Field,1129845,,,
Property,AccessCode,Access Code,"If the property is located behind an unmanned security gate such as in a Gated Community, what is the code to gain access through the secured gate.","Listing,Showing",String,,25,,GateCode,,Código de Acceso,Active,866356b,100860,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM",,2014-07-03,2013-11-21,,AccessCode Field,https://ddwiki.reso.org/display/DDW17/AccessCode+Field,1129835,,,
Property,AccessibilityFeatures,Accessibility Features,A list or description of the accessibility features included in the sale/lease.,Structure,"String List, Multi",,1024,,,,Características de Accesibilidad,Active,444934c,100407,Open,AccessibilityFeatures,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",IDX,2018-12-26,2018-12-05,,AccessibilityFeatures Field,https://ddwiki.reso.org/display/DDW17/AccessibilityFeatures+Field,1129851,,,
Property,AdditionalParcelsDescription,Additional Parcels Description,"If additional parcels are included in the sale, a list of those parcel's IDs separated by commas. Do not include the first or primary parcel number, that should be located in the Parcel Number field.",Tax,String,,255,,,,Descripción Adicional de Parcelas,Active,a2c0b16,100282,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML",,2011-11-09,2013-04-22,,AdditionalParcelsDescription Field,https://ddwiki.reso.org/display/DDW17/AdditionalParcelsDescription+Field,1129834,,,
Property,AdditionalParcelsYN,Additional Parcels Yes/No,Are there more than one parcel or lot included in the sale?,Tax,Boolean,,,,,,Parcelas Adicionales SN,Active,d6f33c3,100281,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML",,2014-07-03,2013-11-21,,AdditionalParcelsYN Field,https://ddwiki.reso.org/display/DDW17/AdditionalParcelsYN+Field,1129842,,,
Property,AnchorsCoTenants,Anchors & Cotenants,The main or most notable tenants as well as other tenants of the shopping center or mall in which the commercial property is located.,Characteristics,String,,1024,,,,Co Inquilinos Ancla,Active,f43d94b,100922,,,No,"COMS,COML",,2014-07-03,2013-12-04,,AnchorsCoTenants Field,https://ddwiki.reso.org/display/DDW17/AnchorsCoTenants+Field,1129838,,,
Property,Appliances,Appliances,A list of the appliances that will be included in the sale/lease of the property.,Equipment,"String List, Multi",,1024,,,,Electrodomésticos,Active,bd6eed9,100361,Open with Enumerations,Appliances,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",IDX,2018-12-26,2018-12-05,,Appliances Field,https://ddwiki.reso.org/display/DDW17/Appliances+Field,1129837,,,
Property,ArchitecturalStyle,Architectural Style,"A list describing the style of the structure. For example, Victorian, Ranch, Craftsman, etc.",Structure,"String List, Multi",,1024,,Style,,Estilo Arquitectónico,Active,4e4abf3,100345,Open,ArchitecturalStyle,No,"RESI,RLSE,RINC,MOBI,FARM",IDX,2018-12-26,2018-12-05,,ArchitecturalStyle Field,https://ddwiki.reso.org/display/DDW17/ArchitecturalStyle+Field,1129857,,,
Property,AssociationAmenities,Association Amenities,"Amenities provided by the Home Owners Association, Mobile Park or Complex. For example Pool, Clubhouse, etc.",HOA,"String List, Multi",,1024,,"AssociationRules, AssociationInfo, HOAAmenities",,Servicios de la Asociación,Active,6fa6942,100228,Open with Enumerations,AssociationAmenities,No,"RESI,RLSE,RINC,LAND,MOBI",IDX,2018-12-26,2018-12-05,,AssociationAmenities Field,https://ddwiki.reso.org/display/DDW17/AssociationAmenities+Field,1129836,,,
